Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
5608,I am a developer by profession,Yes,20.0,12,Monthly,,,Indonesia,Indonesian rupiah,IDR,Microsoft SQL Server;MySQL;PostgreSQL,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",Primary/elementary school,"Independent contractor, freelancer, or self-employed",East Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;Java;JavaScript;TypeScript,HTML/CSS;Java;JavaScript;PHP,Keras;Node.js;React Native;TensorFlow,Node.js;Xamarin,Jira;Github;Gitlab;Slack,Jira;Github;Gitlab,Not sure,Somewhat important,Fairly important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Every few months,No,Onboarding? What onboarding?,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Visit Stack Overflow,Windows,10 to 19 employees,Android;AWS;MacOS;Windows,Arduino;Linux;MacOS;Windows;WordPress,,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,,Spring;Vue.js,Angular.js;Django;Laravel;Spring,Somewhat more welcome now than last year,35.0,7,3
5610,I am a developer by profession,No,25.0,15,Monthly,,,Indonesia,Indonesian rupiah,IDR,,Oracle,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Southeast Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Office environment or company culture",Slightly satisfied,I am not interested in new job opportunities,Dart;HTML/CSS;JavaScript,HTML/CSS;JavaScript;PHP,Flutter;React Native,React Native,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Fairly important,Curious about other opportunities;Better compensation,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,Yes,Yes,Rarely: 1-2 days per year or less,,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,MacOS,500 to 999 employees,Android;Heroku,Android;Heroku,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js;Vue.js,React.js;Vue.js,Just as welcome now as I felt last year,45.0,7,2
5828,I am a student who is learning to code,Yes,16.0,14,,,,Indonesia,,,Firebase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Firebase;Microsoft SQL Server;MongoDB;MySQL;SQLite,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,Southeast Asian,Woman,"Languages, frameworks, and other technologies I’d be working with",,"I’m not actively looking, but I am open to new opportunities",C#;C++;Dart;HTML/CSS;Java;Kotlin;Python;SQL,C#;C++;Dart;HTML/CSS;JavaScript;PHP;SQL,Flutter;React Native,.NET;Flutter;Xamarin,Github;Facebook Workplace,Github;Facebook Workplace,,,,,,Every few months,Yes,,Yes,,Ask developers I know/work with,Amused,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos,Windows,,Android;Arduino;iOS;Linux;MacOS;Raspberry Pi;Windows,Android;iOS;MacOS;Windows,,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,No,,,Laravel,Just as welcome now as I felt last year,,2,
5846,I code primarily as a hobby,Yes,24.0,11,,,,Indonesia,,,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL,Cassandra;Elasticsearch;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,"Data or business analyst;Data scientist or machine learning specialist;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, QA or test;Engineer, data",,"Not employed, but looking for work",Southeast Asian,Man,,,,C;C#;Go;HTML/CSS;Python;SQL;TypeScript,Bash/Shell/PowerShell;C;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;R;Ruby;SQL;TypeScript;VBA,Apache Spark;Hadoop;Keras;Node.js;Pandas;TensorFlow;Teraform;Torch/PyTorch,.NET;.NET Core;Keras;Node.js;Pandas;TensorFlow;Torch/PyTorch,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Github;Gitlab;Slack;Trello,,,Somewhat important,,,Every few months,Not sure,,No,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Linux-based,,Heroku;Windows,Android;Heroku;Windows;WordPress,,Straight / Heterosexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"A business discipline (such as accounting, finance, marketing, etc.)",Django;Gatsby;React.js;Vue.js,Angular;Angular.js;Django;Drupal;Flask;Gatsby;jQuery;Laravel;React.js;Ruby on Rails;Spring;Vue.js,Just as welcome now as I felt last year,,8,
5867,I am a developer by profession,Yes,26.0,17,Monthly,5200000.0,4572.0,Indonesia,Indonesian rupiah,IDR,MySQL,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian;Southeast Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;PHP;SQL,Assembly;Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;SQL,Node.js;Unity 3D;Unreal Engine,,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Neutral,Somewhat important,Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,No,Onboarding? What onboarding?,No,Often: 1-2 days per week or more,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Do other work and come back later;Visit another developer community (please name):,Windows,2 to 9 employees,Google Cloud Platform;Kubernetes;Microsoft Azure;Windows;WordPress,Android;Windows,I have some influence,Straight / Heterosexual,Yes,"No, not at all",Daily or almost daily,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",jQuery;Laravel;Vue.js,jQuery;Laravel;Vue.js,Just as welcome now as I felt last year,45.0,8,4
6022,I am a developer by profession,Yes,,19,Monthly,,,Indonesia,Indonesian rupiah,IDR,,,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,Man,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Family friendliness,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Java,Java;Objective-C;PHP;Swift,,,,,No,Neutral,Not at all important/not necessary,Trouble with leadership at my company;Better work/life balance,,Once a year,Not sure,No,No,Never,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow,MacOS,20 to 99 employees,Android,Android;iOS,I have little or no influence,,Yes,"Yes, somewhat",A few times per week,Less than once per month or monthly,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",,,Somewhat more welcome now than last year,,7,3
6105,I am a developer by profession,Yes,,16,Monthly,,,Indonesia,United States dollar,USD,,Firebase;MySQL;SQLite,"Developer, mobile","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,,Man,Office environment or company culture;Opportunities for professional development;Family friendliness,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Dart;Swift,Java;Kotlin,Flutter;React Native,,"Slack;Trello;Google Suite (Docs, Meet, etc)",Github;Gitlab,Yes,Somewhat important,Very important,Better work/life balance;Growth or leadership opportunities,Publicly available financial information (e.g. Crunchbase);Personal network - friends or family,Once a year,Not sure,Onboarding? What onboarding?,No,Sometimes: 1-2 days per month but less than weekly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Windows,20 to 99 employees,Arduino;iOS,Android,I have little or no influence,,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,,,,,Somewhat less welcome now than last year,,8,4
6151,I am a developer by profession,Yes,18.0,12,Monthly,3900000.0,3420.0,Indonesia,Indonesian rupiah,IDR,MariaDB;MongoDB;MySQL,MariaDB;MySQL,"Developer, back-end",,Employed full-time,Southeast Asian,Man,Opportunities for professional development,Very satisfied,"I’m not actively looking, but I am open to new opportunities",JavaScript;PHP;Python,JavaScript;PHP,Node.js;React Native,,Github;Gitlab,Github;Gitlab,Not sure,Neutral,Not at all important/not necessary,Better compensation,"Company reviews from third party sites (e.g. Glassdoor, Blind)",Every few months,No,Yes,No,Often: 1-2 days per week or more,Start a free trial,Annoyed,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow,Windows,10 to 19 employees,MacOS,Windows,I have some influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,,"Computer science, computer engineering, or software engineering",jQuery;Laravel;React.js,jQuery;Laravel;React.js,A lot more welcome now than last year,12.0,5,1
6219,I am a developer by profession,Yes,24.0,11,Monthly,4200000.0,3684.0,Indonesia,Indonesian rupiah,IDR,MySQL;PostgreSQL,MySQL;PostgreSQL,"Developer, back-end;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Southeast Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Assembly;C;Go;JavaScript;PHP,Go;Java;JavaScript;PHP,,,Confluence;Jira;Github;Slack,Confluence;Jira;Github;Gitlab;Trello,No,Neutral,Fairly important,Having a bad day (or week or month) at work;Wanting to share accomplishments with a wider network;Better compensation;Trouble with leadership at my company;Better work/life balance,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,Yes,Onboarding? What onboarding?,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,10 to 19 employees,Linux;Windows,Linux;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",jQuery;Laravel,jQuery,Just as welcome now as I felt last year,40.0,5,1
6503,I am a developer by profession,No,18.0,16,Monthly,6000000.0,5268.0,Indonesia,Indonesian rupiah,IDR,,Microsoft SQL Server,"Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",,C#;HTML/CSS;Java;JavaScript;SQL,Node.js,,,Microsoft Teams,Not sure,Somewhat important,Fairly important,Having a bad day (or week or month) at work;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Every few months,No,No,No,Rarely: 1-2 days per year or less,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Panic;Watch help / tutorial videos,Windows,"10,000 or more employees",AWS;Google Cloud Platform,Android,I have little or no influence,Straight / Heterosexual,No,"No, not really",,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,Angular.js;ASP.NET,Not applicable - I did not use Stack Overflow last year,50.0,2,Less than 1 year
